ACAO,CORPO,MENTE,VIDA,LIBERDADE,PROPOSITO
Sentar em frente ao quadro famoso, observar os detalhes e tentar entender o sentimento do artista,7,10,9,7,9
Usar o carro do amigo e entregar de volta com o tanque na reserva (Falta de noção),1,1,2,4,1
Devolver o carro do amigo lavado e com o tanque cheio como forma de gratidão sincera,7,9,10,6,9
Acender o cigarro logo após o banho com a janela do banheiro fechada (Sufocamento voluntário),1,1,2,3,1
Decidir parar de fumar para preservar a saúde pulmonar e a energia vital,9,10,10,8,10
Fingir que não tem troco para não dar a caixinha do entregador de pizza na chuva,2,1,1,4,1
Dar uma gorjeta extra para o entregador que trabalhou sob forte chuva,7,9,9,6,9
Usar a panela antiaderente com colher de metal e riscar o fundo inteiro,3,3,4,5,3
Comprar espátulas de silicone e cuidar das próprias panelas para que durem anos,6,8,7,6,7
Cozinhar feijão para a semana inteira, esquecer fora da geladeira e azedar tudo,2,2,3,4,2
Guardar os potes de feijão ainda mornos na geladeira garantindo a comida da semana (Planejamento),7,9,8,7,8
Zombar de quem compra roupa em brechó dizendo que é "roupa de defunto",2,1,1,4,1
Comprar roupas estilosas em brechós, economizando dinheiro e ajudando o planeta (Moda circular),7,9,9,7,9
Morder a tampa do iogurte para raspar o que sobrou (Fome primitiva de plástico),5,6,5,6,5
Passar a colher na tampa e aproveitar o iogurte sem precisar morder alumínio,6,8,7,6,7
Esquecer de regar a samambaia até ela secar completamente e jogar a culpa no clima,2,2,3,4,2
Colocar um lembrete no celular para regar as plantas semanalmente assumindo a responsabilidade,7,8,7,6,8
Bater a porta do quarto com raiva e a maçaneta quebrar na mão (Destruição por fúria),2,2,2,4,2
Descer as escadas e beber um copo d'água gelada para esfriar a cabeça antes de estourar,6,9,8,7,8
Tentar arrumar o vazamento do chuveiro passando durepox com ele ligado,2,2,3,4,2
Chamar um encanador profissional para evitar agravar o problema e gastar mais depois,6,8,8,6,8
Desistir de um curso de 4 anos no último semestre por pura preguiça de fazer o TCC,2,1,2,4,2
Usar a força final, pedir ajuda de um orientador e terminar o TCC com orgulho,8,10,9,7,9
Gritar com o garçom porque ele trouxe o vinho na temperatura "errada",2,1,1,4,1
Pedir com educação para gelar o vinho um pouco mais, sem escândalo,6,8,8,6,8
Encher o pneu do carro apenas quando ele está visivelmente murcho no chão,2,2,3,4,2
Calibrar os pneus a cada duas semanas mantendo a segurança e a economia de combustível,7,8,8,6,8
Usar sabonete em barra alheio no banheiro do vestiário da academia (Risco de infecção de pele),1,2,2,4,1
Levar o próprio sabonete líquido na nécessaire para a academia (Higiene e preparação),7,8,7,6,7
Dizer que o filme "é muito cabeça" para não admitir que dormiu na metade,4,3,4,5,3
Admitir que o filme deu sono e que prefere filmes de ação no final de semana,6,8,7,7,7
Passar o domingo inteiro de ressaca sofrendo e jurando que "nunca mais vai beber",2,2,3,4,2
Conhecer os próprios limites e beber água entre os drinks na festa para acordar bem no domingo,8,9,8,7,8
Comer biscoito na cama e dormir no meio das migalhas que pinicam o corpo,3,3,3,5,3
Sacudir os lençóis ou comer os biscoitos na mesa da cozinha para garantir um sono confortável,6,7,6,6,6
Dizer que a ideia genial do colega na reunião foi sua, na frente do diretor,1,1,1,3,1
Atribuir o crédito corretamente ao colega, reforçando o espírito de equipe,7,9,9,6,9
Tentar consertar a internet cortando um fio aleatório do roteador (Desespero tecnológico),2,2,3,4,2
Ouvir rádio enquanto a internet não volta (Desacelerando),7,9,8,6,8
Escrever a mão uma carta para um amigo distante sem motivo nenhum, só para mandar abraços,7,10,10,6,10
Criticar a escolha profissional do filho dizendo que "não dá dinheiro",2,1,2,4,2
Apoiar a escolha do filho com amor, lembrando-o de ser o melhor possível no que fizer,7,10,9,7,9
Usar o carro do avô, raspar na pilastra e devolver estacionando no escuro para ele não ver,1,1,1,4,1
Assumir o arranhão, pedir desculpas ao avô e pagar o conserto na funilaria,7,9,9,6,8
Passar horas montando um quebra-cabeça de 2000 peças e o gato dormir em cima destruindo tudo,4,5,5,5,4
Dar risada da situação do gato e montar de novo com mais paciência,7,9,8,6,8
Curtir uma foto de 2012 da ex-namorada de madrugada por acidente,2,2,3,4,2
Desligar o celular à noite para evitar constrangimentos digitais,7,9,8,8,8
Fingir desmaio no supermercado para não pagar a conta de R$ 500 que não tem como pagar,1,1,2,4,1
Controlar os gastos antes de colocar no carrinho ou devolver o que não puder pagar sem drama,7,9,8,7,8
Dizer que é intolerante a glúten na casa da visita só para recusar o bolo que achou feio,3,2,2,4,2
Aceitar o bolo, agradecer e comer um pedacinho por educação,6,8,8,6,8
Limpar o cache do navegador para não descobrirem as pesquisas bobas,5,6,6,6,5
Escrever um diário físico e escondê-lo muito bem (Segurança analógica),7,8,7,7,7
Mandar figurinha obscena no grupo do condomínio por engano e sair do grupo de vergonha,2,1,2,4,2
Pedir desculpas imediatamente no grupo assumindo o erro de digitação de forma madura,6,8,8,6,8
Cuspir o chiclete no mictório do banheiro público (Nojeira extrema que prejudica a limpeza),1,1,1,3,1
Jogar o chiclete enrolado num papel na lixeira corretamente,7,8,8,6,8
Tomar leite direto da caixa na frente das visitas,1,1,2,4,1
Servir o leite num copo ou numa jarra bonita para todos,6,8,8,6,8
Comer biscoito na cama, dormir em cima e acordar com o rosto marcado de migalha,3,3,3,5,3
Falar para a pessoa que ela está com uma sujeira no dente de forma super discreta,7,9,9,6,9
Deixar a pessoa sorrir com sujeira no dente o dia inteiro sem avisar,2,1,2,4,2
Fingir que está prestando atenção na reunião presencial, mas desenhar bonequinhos na agenda,5,6,6,5,5
Anotar ativamente os pontos principais da reunião e sugerir ideias no final,7,10,9,7,9
Usar toalha molhada no sofá de couro (Desastre doméstico),2,2,3,4,2
Estender a toalha no varal logo após o banho, preservando os móveis da casa,6,8,7,6,7
Arranhar o carro na garagem e culpar um "motorista misterioso na rua",1,1,1,4,1
Assumir o erro do arranhão para a esposa/marido e resolver juntos,6,9,8,6,8
Colocar panela quente direto na mesa de vidro e trincar o vidro inteiro,2,2,3,4,2
Usar o descanso de panela sempre, protegendo a mobília,6,7,6,6,6
Jogar o lixo reciclável no lixo comum porque o cesto estava 2 metros mais longe,2,1,2,4,2
Dar os 2 metros extras e contribuir para a reciclagem do condomínio,7,8,8,6,8
Acumular caixas de ovos achando que fará artesanato e atrair traças,2,2,3,4,2
Descartar as caixas de ovos ou doá-las imediatamente se não tiver um plano em 24h,6,7,6,6,6
Mandar "Ok" quando a mãe conta uma história de 5 minutos em áudio,2,1,2,4,2
Ouvir o áudio e perguntar algo sobre a história para mostrar que se importa,7,10,10,6,10
Criticar o peso do cachorro do amigo chamando de "rolha de poço",2,1,1,4,1
Comentar sobre a importância da saúde do animal sem usar termos pejorativos,6,8,8,6,8
Ir ao dentista e mentir que passa fio dental todos os dias (A gengiva entrega a mentira),2,1,2,4,2
Dizer a verdade ao dentista para que ele possa te ajudar a construir o hábito,7,9,8,7,8
Derrubar café na própria mesa e fingir que "já estava aí",3,2,2,4,2
Limpar imediatamente a mesa com papel toalha antes de virar uma poça pegajosa,6,7,6,6,6
Enfeitar a casa com coisas bonitas e proibir a família de sentar no sofá,2,2,2,4,2
Usar o sofá bonito com capas ou mantas que permitam que a família seja feliz nele,7,9,9,6,8
Colocar 5 colheres de açúcar no chá de camomila e anular o efeito relaxante,3,3,3,4,3
Aprender a tomar chá puro ou com pouco mel e sentir o sabor da erva,7,8,7,6,8
Recusar ir ao banheiro na casa de outra pessoa e passar o dia inteiro com dor na barriga,2,2,4,5,2
Ir ao banheiro com naturalidade, usar bom ar e viver sem dores desnecessárias,7,8,7,6,7
Acumular água no pneu velho do quintal no auge do verão (Criador de mosquito),1,1,1,3,1
Secar o pneu e descartá-lo no ecoponto protegendo a saúde da vizinhança,8,9,9,6,9
Desdenhar da dor de cabeça do colega dizendo que a sua enxaqueca é pior (Competição de dor),2,1,1,4,1
Oferecer um remédio ou um ambiente escuro para o colega descansar a dor de cabeça,7,9,9,6,9
Mandar mensagem marcando um encontro e cancelar 10 minutos antes (Falta de consideração),2,1,2,4,2
Manter a palavra ou cancelar com muita antecedência caso ocorra um imprevisto,6,9,8,6,8
Usar papel toalha como filtro de café e ficar com gosto de celulose forte,4,4,4,5,4
Comprar filtro de papel reutilizável de pano e não passar perrengue na hora do café,7,8,7,6,7
Chamar o mecânico, achar o serviço caro e tentar consertar o motor com vídeo do YouTube,3,3,4,4,3
Pagar o mecânico de confiança para garantir a segurança da própria família no carro,7,8,8,6,8
Criticar abertamente as crenças alheias numa mesa de bar em vez de ouvir as histórias,2,1,1,4,1
Comer a salada inteira achando que emagreceu 5kg no mesmo minuto (Ansiedade corporal),4,4,4,5,4
Cuidar do corpo como um processo lento, amoroso e contínuo, sem pressa de resultados mágicos,8,10,9,8,9
Mandar 15 vídeos longos pro WhatsApp do grupo achando que todos têm tempo de ver,3,2,3,4,3
Enviar um vídeo longo só se for muito bom e com um resumo do que se trata,6,8,8,6,8
Zombar de um erro de ortografia na redação do estagiário humilhando-o na frente de todos,1,1,1,3,1
Chamar o estagiário em particular e ensinar a regra gramatical com gentileza e mentoria,8,10,9,6,10
Levar o carregador do notebook para casa e deixar o colega sem bateria no dia seguinte de propósito,2,1,1,3,1
Comprar um carregador reserva para deixar fixo no escritório e evitar dor de cabeça,6,8,8,6,7
Tentar lavar a roupa escura com água sanitária e destruir o guarda-roupa inteiro,2,2,3,4,2
Ler as etiquetas das roupas antes de colocar na máquina para preservar as peças,6,8,7,6,7
Ir dormir brigado com o parceiro jurando que nunca mais vai falar com ele (Orgulho infantil),2,1,2,4,2
Dar um beijo de boa noite mesmo brigado, lembrando que a relação é maior que a discussão,7,10,9,7,9
Postar "quem me conhece sabe" quando na verdade ninguém conhece a sua intenção,3,2,2,4,2
Aprender a se comunicar claramente em vez de depender de entrelinhas nas redes sociais,7,9,8,7,8
Dar um bolo de 3 horas de atraso no encontro amoroso e achar que "ele espera porque me ama",2,1,1,4,1
Sair 30 minutos mais cedo, chegar no horário e respeitar o tempo da pessoa amada,7,9,9,6,9
Recusar-se a pagar R$ 5 reais de couvert artístico e ser grosseiro com o cantor do bar,2,1,1,4,1
Reconhecer que a arte custa e pagar o couvert com alegria por ter música ao vivo,6,9,8,6,8
Engolir caroço de ameixa e passar o resto do dia tenso, achando que uma árvore vai crescer na barriga,4,4,4,5,4
Excluir o arquivo errado da empresa, não avisar ninguém e torcer para o backup salvar,2,1,2,4,1
Avisar o T.I. sobre a exclusão do arquivo na mesma hora assumindo o erro profissionalmente,6,9,8,6,8
Limpar o celular no suor da blusa achando que vai desengordurar a tela,3,3,4,5,3
Usar o lenço correto para limpar o celular e evitar riscar a tela cara,6,7,6,6,6
Criticar quem vai ao psicólogo dizendo que "terapia é falta de ter o que fazer",1,1,1,4,1
Fazer terapia para lidar com o próprio preconceito e descobrir traumas que não conhecia,8,10,9,8,10
Mandar e-mail de madrugada para o chefe tentar parecer "o cara que trabalha duro",3,2,2,4,2
Descansar à noite e entregar resultados de excelência no horário de expediente,7,9,9,7,9
Comprar pão francês e apertar todos na prateleira para ver qual está mais macio (Antihigiênico),1,1,1,3,1
Usar a pinça da padaria, escolher com os olhos e colocar no saco educadamente,6,8,7,6,7
Pagar um lanche caro no aeroporto com nota de 100 reais e o garçom não ter troco,4,4,4,5,4
Andar com dinheiro trocado ou cartão e facilitar as transações em viagens,6,8,7,6,7
Esconder os fones de ouvido para não ter que emprestar pro irmão,3,3,3,4,3
Emprestar o fone de ouvido pro irmão mas combinar um horário para ele devolver,6,8,8,6,8
Sentar na última cadeira da sala de aula só para dormir encostado na parede,3,3,3,4,3
Sentar nas primeiras fileiras, focar na aula e aprender o que realmente importa,7,9,8,7,9
Jogar água na planta artificial e ficar um mês achando que está cuidando dela muito bem,5,6,6,6,5
Comer batata frita e não lavar a mão antes de mexer no volante do carro,2,2,3,4,2
Usar álcool em gel ou lavar as mãos e preservar a limpeza do veículo,6,8,7,6,7
Mandar indireta pra pessoa e quando ela pergunta, dizer: "Não era pra você, veste a carapuça quem quiser",2,1,1,4,1
Abordar os problemas cara a cara, de peito aberto, sem fugir da responsabilidade da fala,7,10,9,7,10
Acumular 20 pares de sapatos, usar apenas 2 e se recusar a doar os outros 18,3,2,3,4,2
Doar os 18 pares em bom estado para quem realmente não tem calçado e libertar espaço em casa,7,9,9,6,9
Tentar consertar o pneu do carro de noite na chuva sem usar triângulo de sinalização (Perigo de morte),1,1,1,4,1
Sinalizar corretamente, vestir um colete ou capa e consertar o pneu com segurança total,7,8,8,6,8
Limpar as janelas da casa ouvindo música alta no sábado de manhã incomodando os vizinhos,3,2,2,4,2
Usar fones de ouvido ou abaixar o volume para curtir a limpeza sem invadir o espaço alheio,6,8,8,6,8
Derrubar café nos documentos da empresa, culpar a mesa "que estava bamba",2,1,2,4,2
Pedir desculpas, secar os documentos e tentar salvar o que sobrou sem inventar desculpas,6,8,8,6,8
Ouvir áudio no WhatsApp em velocidade 2x e não entender nada (Ansiedade da pressa),4,3,4,5,3
Ouvir na velocidade normal, absorver a mensagem e respirar (Paciência digital),7,8,7,6,7
Chamar a atenção da criança gritando no meio do restaurante (Constrangimento para todos),2,1,1,4,1
Levar a criança para fora do restaurante, acalmar e conversar na altura dos olhos dela,7,9,9,6,9
Comprar o caderno mais caro da papelaria e nunca escrever uma linha por medo de estragar (Bloqueio criativo material),4,4,4,5,4
Riscar o caderno novo na primeira página para quebrar o medo e usá-lo sem moderação,7,9,8,7,8
Dizer "Eu te avisei" com tom arrogante quando o amigo erra a rua no GPS,2,1,2,4,2
Ajudar a redirecionar o GPS com tranquilidade sem esfregar na cara do outro o erro,6,9,8,6,8
Entrar no grupo da família no domingo e soltar uma "bomba" polêmica sobre política para estragar o almoço,2,1,1,4,1
Guardar a polêmica para si, elogiar o churrasco e aproveitar a comida e a paz,7,9,9,6,8
Cuspir caroço de azeitona na mão e colocar de volta no pote de amendoim (Nojeira de festa),1,1,1,3,1
Usar o guardanapo para dispensar o caroço discretamente e colocar no lixo,6,8,7,6,7
Passar manteiga no pão enquanto toma café e deixar a xícara toda engordurada,3,3,4,5,3
Deixar o tênis branco na porta de casa por 3 dias e pisarem em cima sujando tudo,4,4,4,5,4
Lavar o tênis branco e guardar no armário assim que secar (Cuidado com o bem),6,8,7,6,7
Abrir a porta da geladeira a cada 20 minutos esperando que tenha algo novo (Ansiedade alimentar e desperdício de energia),3,3,3,4,3
Bebêr um copo de água grande toda vez que tiver vontade de abrir a geladeira à toa,7,8,7,6,7
Pegar o celular para ver a hora, não ver a hora, entrar no Instagram e perder 40 minutos,4,3,4,5,3
Usar relógio de pulso para ver a hora e diminuir a dependência do celular,7,8,7,6,7
Mandar currículo com o nome do arquivo "Curriculo_arrumado_final_v5_agora_vai.pdf",3,3,3,4,3
Salvar o currículo como "Nome_Sobrenome_Cargo.pdf" demonstrando profissionalismo desde o primeiro contato,6,9,8,7,8
Acender cigarro dentro do banheiro e achar que o ventilador vai puxar todo o cheiro,1,1,2,4,1
Recusar-se a comer brócolis porque tem "textura de arvorezinha verde",3,3,3,4,3
Comer o brócolis no vapor pensando nos benefícios das fibras e vitaminas,8,8,7,7,8
Trocar mensagens de madrugada dizendo "eu nunca vou te abandonar" para alguém que mal conhece (Intensidade precoce),2,2,3,4,2
Construir laços de confiança devagar, sem pressa de declarações irreais de madrugada,7,9,8,7,8
Limpar o piso com amônia misturada com água sanitária para "ficar bem limpo" e quase morrer intoxicado (Mistura química letal),1,1,1,4,1
Ler as instruções dos produtos de limpeza e não misturar químicos perigosos em casa,7,8,7,6,8
Recusar se vacinar contra gripe porque "toma todo ano e mesmo assim pega gripe",2,1,2,4,1
Entender que a vacina evita formas graves e tomar anualmente para proteger os idosos da família,8,9,9,7,9
Fingir de morto para assustar a criança e ela chorar de verdade (Trauma de brincadeira pesada),1,1,1,4,1
Brincar de esconde-esconde tradicional e garantir a risada da criança sem assustar,7,9,9,6,9
Comprar um capacete de R$ 3.000 para andar numa bicicleta de R$ 300,5,5,5,5,5
Investir no equilíbrio: uma boa bicicleta com um capacete seguro e adequado à necessidade real,7,8,7,6,7
Tentar cortar o bolo de aniversário com a faca de passar manteiga para não sujar a faca grande,4,4,4,5,4
Usar a faca certa e cortar fatias bonitas, lavando a louça suja depois sem frescura,6,8,7,6,7
Comer amendoim japonês no escritório e encher o teclado do colega de casquinhas,2,1,1,4,1
Recusar-se a tomar sol na praia, usar manga longa preta e ficar reclamando do calor,3,2,3,4,2
Comprar um colchão barato pela internet, acordar com dor nas costas e culpar a idade,3,3,4,5,3
Investir em um bom colchão e passar anos dormindo bem e acordando disposto,8,9,8,7,8
Limpar o vaso sanitário com a mesma esponja de lavar louça (Nojeira perigosa),1,1,1,4,1
Separar esponjas de cores diferentes para o banheiro e para a cozinha, mantendo a saúde da casa,7,8,7,6,7
Gritar "Hoje tem!" quando o chefe sai mais cedo, achando que ninguém vai trabalhar,2,2,2,4,2
Aproveitar o ambiente tranquilo para adiantar o trabalho ou ler algo produtivo sobre a carreira,7,9,8,7,8
Pegar ônibus e escutar música sem fone de ouvido no volume máximo,1,1,1,4,1
Comprar 5 pacotes de curso online, não assistir nenhum e reclamar que não aprende nada,3,2,3,4,3
Escolher um único curso, finalizar e aplicar o conhecimento na prática antes de comprar outro,7,9,8,7,8
Andar de skate no corredor do prédio e quebrar o vaso da vizinha,1,1,2,4,1
Ir ao parque de skate, quebrar a própria prancha num tombo, rir e ir comprar outra,6,8,7,6,8
Acender cigarro perto da janela do hospital (Insensibilidade),1,1,1,4,1
Fingir desmaio para não pagar a passagem do ônibus,1,1,1,3,1
Mandar áudio no WhatsApp chorando porque o pão caiu no chão com a manteiga para baixo,4,4,4,5,4
Passar 3 dias sem tomar banho no acampamento e achar que virou o urso Grylls,4,4,5,5,4
Procurar o rio mais próximo para tomar um banho rápido e manter a higiene no mato,7,8,7,6,7
Roubar Wi-Fi do asilo do lado de casa para jogar video game de madrugada,2,1,1,3,1
Dizer para a criança que se engolir chiclete gruda no estômago para sempre,3,3,3,4,3
Bater no computador porque a internet está lenta, como se a máquina fosse a culpada,2,2,3,4,2
Ligar para a operadora de internet com paciência e pedir o reparo do sinal,6,8,7,6,7
Passar creme de barbear no rosto e esquecer de tirar, saindo na rua como um Papai Noel sujo,4,4,4,5,4
Tirar foto do prato de comida e não deixar ninguém comer até postar no Instagram,3,2,2,4,2
Aproveitar a refeição quente com as pessoas amadas e deixar as redes sociais de lado,7,10,9,8,9
Beber água da torneira do banheiro público de rodoviária (Risco alto de infecção),1,2,2,4,1
Comprar uma garrafinha de água mineral na lanchonete garantindo a saúde da viagem,7,8,7,6,7
Lavar o cabelo com sabão em pó para "limpar melhor a oleosidade" e ficar careca,1,1,2,4,1
Usar shampoo antioleosidade recomendado pelo dermatologista cuidando bem dos fios,7,8,7,6,7
Esconder os defeitos do carro usado antes de vendê-lo para o amigo,1,1,1,3,1
Tentar pintar o próprio carro com tinta spray em lata (Desastre automotivo),3,3,4,4,3
Chamar um eletricista, assistir o serviço inteiro de braços cruzados dando palpites,3,2,2,4,2
Oferecer um café ou água para o prestador de serviço que está na sua casa trabalhando duro,7,9,9,6,8
Tirar fotos escondidas do crush na academia,1,1,1,3,1
Focar no próprio treino e manter o respeito na academia,8,8,7,7,8
Recusar-se a usar o mapa (GPS) por puro orgulho e ficar rodando perdido por 2 horas,2,2,3,4,2
Usar o GPS e chegar no destino rápido e sem estresse,6,8,7,6,7
Criticar quem assiste reality show, mas acompanhar as fofocas no Twitter escondido,3,2,2,4,2
Assumir sem culpa que adora um reality show como entretenimento leve para relaxar,6,8,7,6,7
Dizer que "odeia política", mas brigar com o tio no almoço de domingo defendendo um candidato,2,1,1,4,1
Tentar entender os argumentos do tio e debater ideias com respeito sem destruir o almoço,7,9,8,7,8
Comprar livros apenas pela cor da capa para enfeitar a sala,4,4,4,5,4
Ler a sinopse, comprar porque achou interessante, ler e colocar na estante como conquista,7,9,8,7,8
Acumular caixas de sapato jurando que vai guardar documentos dentro delas (E nunca o faz),4,4,4,5,4
Comprar pastas de documentos, organizar tudo num sábado e jogar as caixas de papelão fora,7,9,8,6,8
Limpar o piso com a mesma água suja do balde por 3 cômodos inteiros,2,2,3,4,2
Trocar a água do balde a cada cômodo garantindo que a casa fique realmente limpa,7,8,7,6,7
Comer bolo de aniversário da firma e reclamar alto que está seco (Grosseiro e ingrato),2,1,1,4,1
Elogiar o bolo, comer o que tem e agradecer a iniciativa do RH,6,8,8,6,8
Colocar 4 alarmes de 5 em 5 minutos e acordar a casa inteira antes do primeiro,3,3,3,4,3
Levantar no primeiro alarme, respeitando o próprio corpo e o sono da família,7,9,8,7,8
Reclamar do trânsito o tempo todo, mas não dar passagem pra ninguém entrar na sua pista,2,1,1,4,1
Dar a passagem com um sorriso, ajudando o fluxo do trânsito e diminuindo o estresse urbano,7,8,8,6,8
Derrubar o celular na privada, limpar na calça e atender ligação em seguida,2,2,3,4,2
Mentir para a avó que o almoço dela estava ótimo, mas jogar metade no lixo sem ela ver,3,3,4,5,3
Elogiar com amor, comer e depois explicar gentilmente que já estava cheio, guardando a sobra na geladeira,6,8,7,6,7
Acender a luz do quarto às 3h da manhã só para matar um pernilongo e acordar todo mundo,4,4,4,5,4
Usar um repelente antes de dormir e garantir a noite de sono da casa toda,7,8,7,6,7
Entrar na fila do supermercado com 50 itens na fila de "Até 10 volumes" fingindo que não viu a placa,1,1,1,4,1
Respeitar as filas exclusivas e esperar sua vez no caixa normal lendo uma revista,7,8,8,6,8
Falar mal do restaurante para os amigos só porque a comida demorou 10 minutos a mais,2,1,1,4,1
Elogiar o restaurante para os amigos porque a comida estava maravilhosa apesar do pequeno atraso,6,8,8,6,8
Usar a blusa da irmã escondido, sujar de maquiagem e devolver dobrada no fundo do armário,2,1,2,4,2
Assumir que sujou, lavar a blusa e entregar limpa pedindo desculpas,6,8,8,6,8
Passar o dia inteiro jogando paciência (solitaire) no computador do trabalho achando que ninguém vê,2,2,3,4,2
Tirar 15 minutos de pausa verdadeira, caminhar pelo escritório e voltar focado ao trabalho,7,9,8,7,8
Dizer para a nutricionista que só bebe água, mas tomar 2 litros de refrigerante escondido,2,1,2,4,2
Ser transparente com a nutricionista sobre as dificuldades com refrigerante para ela poder ajudar,7,9,8,7,8
Acumular 5 escovas de dente velhas no copinho do banheiro "para limpar tênis" e nunca limpar,3,3,3,4,3
Jogar fora as escovas velhas ou limpar logo os tênis no sábado de manhã,6,8,7,6,7
Limpar o canto do olho de manhã e descobrir que o cachorro está lambendo seu rosto para te acordar,6,7,7,6,7
Gritar e espantar o cachorro do quarto porque odeia ser acordado com lambeijo,3,3,3,5,3
Dar risada da situação e fazer um carinho de bom dia no pet,7,9,8,6,8
Comprar 2 quilos de salada na segunda-feira, esquecer na geladeira e jogar o saco mofado fora na sexta,2,2,3,4,2
Lavar a salada assim que chegar do mercado e deixar em potes para facilitar o consumo na semana,8,9,8,7,8
Sentar na poltrona do chefe quando ele não está só para girar a cadeira,4,4,4,5,4
Bater na porta antes de entrar na sala do chefe, mesmo que ela esteja aberta,6,8,8,6,8
Dizer que o celular estragou para não ir na reunião do zoom e passar a tarde dormindo,2,1,2,4,2
Entrar na reunião, contribuir rapidamente e pedir licença se precisar focar em outra demanda,7,9,8,7,8
Ouvir rádio amador no carro e fingir que é da polícia passando na frente dos amigos,4,4,4,5,4
Levar o filho no ombro no show para ele ver melhor e bloquear a visão de 30 pessoas atrás,3,2,2,5,3
Ficar numa área mais livre para levantar a criança sem estragar a experiência dos outros fãs,6,8,8,6,8
Cortar cebola chorando muito e culpar o governo pelo preço das coisas,4,4,4,5,4
Cozinhar com gratidão pelo alimento que tem na mesa,7,9,8,7,8
Dizer "isso é fase" para o adolescente triste e invalidar os sentimentos dele,2,1,1,4,1
Escutar o adolescente com paciência e oferecer apoio psicológico, se necessário,7,10,9,7,10
Postar selfie com prato fitness enquanto a marmita de strogonoff está esquentando no micro-ondas,3,2,3,4,2
Ir no casamento só para comer bem e ir embora antes da valsa sem cumprimentar os noivos,2,1,1,4,1
Abraçar os noivos, festejar e ir embora quando se sentir cansado, mas com educação,6,8,8,6,8
Tentar ler um livro de física quântica no ônibus só para impressionar as pessoas sentadas perto,3,2,3,4,2
Ler uma revistinha ou um livro leve que realmente te dá prazer durante a viagem,7,9,8,7,8
Usar filtro solar fator 60 no corpo todo e esquecer de passar nas orelhas queimando-as feio no sol,4,4,4,5,4
Criar uma rotina completa de proteção solar em todos os cantinhos expostos do corpo,8,8,7,6,8
Beber vinho direto da garrafa na cozinha para não ter que lavar a taça depois,3,3,3,5,3
Servir a taça de vinho e beber com classe, lavando depois em 30 segundos,7,8,7,6,7
Tirar fotos de todos os shows de fogos de artifício no ano novo e nunca mais olhar para elas,4,4,4,5,4
Guardar o celular no bolso e assistir os fogos de artifício com os próprios olhos e com a família,7,10,9,8,9
Mandar a mesma piada velha em 5 grupos diferentes no WhatsApp e rir sozinho,4,4,4,5,4
Comer pão de queijo fervendo, queimar o céu da boca e perder o paladar por 2 dias,3,3,4,5,3
Assoprar e esperar a comida esfriar saboreando o alimento com segurança e calma,7,8,7,6,7
Passar creme anticelulite achando que o creme vai fazer o trabalho de 1 ano de academia,3,2,3,4,3
Lavar as mãos depois de usar o banheiro com apenas duas gotas de água sem sabão,2,1,1,4,1
Lavar muito bem as mãos com sabão e secar adequadamente (Prevenção e higiene pessoal),8,8,7,6,8
Pagar R$ 100 de frete de madrugada por pura ansiedade e o produto chegar em 5 dias igual o frete grátis,3,2,3,4,2
Comer 5 pacotes de figurinha da Copa em vez de colar no álbum, brincando com as crianças,7,8,7,6,7
Deixar a calça jeans manchada de molho no balde por uma semana inteira e ela criar lodo,2,2,3,4,2
Esfregar a mancha logo depois do almoço e colocar no varal garantindo a vida útil da peça,6,8,7,6,7
Esconder os furos nas meias do filho para não precisar comprar novas,3,3,3,4,3
Mandar mensagem para a pessoa do lado pedindo para ela buscar água,3,2,3,4,3
Levantar e buscar dois copos de água: um pra você e outro pra quem está do lado,7,8,8,6,8
Atravessar a rua olhando pro celular e ser xingado pelo motorista de aplicativo,1,1,1,3,1
Olhar pros dois lados da via, guardar o celular no bolso e atravessar na faixa de pedestre,8,9,9,7,9
Recusar-se a usar guarda-chuva por "estilo", tomar um temporal e passar 3 dias espirrando,2,2,3,5,2
Fazer as pazes com o guarda-chuva e proteger a saúde do corpo com inteligência,7,8,7,6,7
Postar que "odeia rotina", mas comer frango com batata doce toda refeição,3,2,3,4,3
Entender a própria dieta como uma escolha de longo prazo e não reclamar dela nas redes,7,9,8,7,8
Passar horas reclamando da empresa na internet, mas não mandar currículo para mais ninguém,2,1,2,4,2
Buscar novas oportunidades de emprego, se qualificar e sair da empresa atual de cabeça erguida,8,10,9,8,9
Pegar um pedaço enorme de bolo e largar metade no prato debaixo da mesa,3,2,2,4,2
Cortar um pedaço pequeno de bolo, comer com vontade e repetir se houver necessidade,6,8,7,6,7
Dizer que ama cachorros, mas enxotar o cachorro de rua da calçada aos gritos,1,1,1,3,1
Fingir desmaio no sofá para a esposa/marido ir buscar a pizza na porta do prédio,4,4,4,5,4
Dividir a tarefa: um pede a pizza, o outro busca na portaria,6,8,8,6,8
Dar bom dia sorrindo e não receber resposta, e ficar o dia todo de mau humor,3,2,3,4,3
Entender que o mau humor do outro não é culpa sua e seguir com a própria luz e simpatia,8,10,9,8,9
Gastar 40 minutos editando a foto para postar nos stories e apagar depois de 5 minutos,3,2,3,4,3
Postar a foto normal, com um sorriso real, sem edição e deixar as pessoas verem a verdade,7,9,8,7,8
Odiar brócolis, mas obrigar o filho a comer dizendo que é regra,3,2,2,4,2
Dar o exemplo e comer os vegetais junto com os filhos criando um hábito familiar positivo,8,9,9,6,9
Fingir que sabe degustar azeite para impressionar o sogro no almoço de domingo,4,4,4,5,4
